ticker,start_date,end_date,trading_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95,var_99,cvar_95,skewness,kurtosis,positive_days_pct,avg_positive_return,avg_negative_return,best_day,worst_day,avg_daily_volume
PNC,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,2.684005338642354,0.19109584304384852,0.2967420142939593,0.5895169600164643,0.7886552795299538,-0.49583369741482697,-0.02799931386959284,-0.05184516495206194,-0.043003454640618964,-0.02840933487344983,9.035565826205822,0.5250796178343949,0.012733913191571085,-0.012670236087991282,0.1294340571248913,-0.15900157589517572,2261517.03143653
MS,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,8.973243485200419,0.32385909722799333,0.3164826922740066,0.8869592652440246,1.240898982158922,-0.5132583189060871,-0.028004039622881137,-0.05067101307774336,-0.04375730602199217,0.407314243648242,12.604536515608661,0.5254777070063694,0.014031028378938291,-0.01329061389657416,0.19770043678480564,-0.1560000832473898,9661510.982888978
COF,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,3.1538630346386958,0.23558427906063661,0.37020439003852534,0.5716646819017335,0.7712725834186909,-0.6025293350820369,-0.031707315069870824,-0.0615323305870387,-0.05308696274585689,-0.003734902150348526,12.370720453489472,0.518312101910828,0.01587235861572483,-0.015424939043859736,0.187543923778978,-0.23874225977767838,3028974.253879825
C,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,2.833322949438859,0.20951221541721532,0.33252215833734844,0.5722594860954533,0.763576572474336,-0.5650757121410623,-0.028513400456047673,-0.05457831637042328,-0.047051781495190945,-0.05576805098423442,12.504824047592622,0.5159235668789809,0.014156080366015433,-0.013685051147461446,0.17984291784761197,-0.19298592147842342,18311165.73816156
TFC,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,1.4164181952680885,0.1561331687615839,0.33545632900640154,0.4326128912798454,0.5618587094236733,-0.5911312819393107,-0.029680545182185398,-0.06003574981483952,-0.04923365891855487,-0.25331214684405207,11.768105581524587,0.5151273885350318,0.0141600466704722,-0.01401701008186438,0.1724409317211879,-0.19095493258032792,6516068.165539196
GS,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,6.517642348356225,0.2788210914284308,0.2956474023678216,0.8322707381063597,1.1652102539679678,-0.4874878868383139,-0.025875608462807086,-0.04491879957605563,-0.04146356578868956,0.2323256955061046,9.966728545475782,0.5214968152866242,0.013268964946260968,-0.012441307207038621,0.17580295699617432,-0.127053118206517,2853856.148030243
BK,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,3.5111105961055102,0.20661572461465139,0.27054686726633476,0.6944805194124793,0.8954741298686023,-0.5049096544568736,-0.025433859874728702,-0.04591419713586206,-0.04028174343278318,-0.19968384875476522,10.863378199204703,0.5410031847133758,0.011446477711939011,-0.012002484796867576,0.1561652117993484,-0.1450338565157575,4860968.643056109
USB,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,1.0515692330867128,0.12500159759823748,0.30225752814882806,0.38977353814850296,0.5087941110185766,-0.5213488531141313,-0.02788248529524575,-0.05212283565441821,-0.04502628136693831,0.05783028914539808,10.378395831423719,0.5127388535031847,0.012665061000949713,-0.012583723001239088,0.1736793080027288,-0.14440518529579738,8082872.264226025
BAC,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,4.083311858323987,0.2351210924426348,0.31038733269409835,0.6806254482448019,0.9401638469482091,-0.4894678578856062,-0.028251289320880998,-0.05285270721095206,-0.04409250248828669,0.21967362793654507,10.512114481876461,0.5155254777070064,0.01367218974012669,-0.013086927119861704,0.1779620577299883,-0.1539735185111295,59041822.92081178
WFC,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,1.5018161346158632,0.1542555131065051,0.32080158063302955,0.44730577246395475,0.6077112849348384,-0.6445711325769639,-0.028696858148213274,-0.057632474356417024,-0.04684851773090925,0.05213239144846641,8.352662592713303,0.509156050955414,0.01389539436700556,-0.01340590717662489,0.14534648949907703,-0.15867614316119938,22913217.270194985
JPM,2016-02-03 00:00:00-05:00,2026-01-30 00:00:00-05:00,2512,5.9678519723073284,0.261711731140271,0.27515196960831523,0.8452658916426722,1.136532597791107,-0.43626507305955387,-0.024974484432666876,-0.04464239217957695,-0.03944009412172475,0.3288422786903113,13.966414739695313,0.5254777070063694,0.011749270711525818,-0.011150173265649228,0.18012514772499166,-0.14964873802681078,13194367.011539992
